sample_name,NCBP2,RNF114,PHLDA3,PNN,SERPINA10,C3orf72,ZFP82,LHCGR,IGFBP5,EIF2B4,MLF2,ZSWIM3,TMOD2,PDF,DLGAP4,CLCN1,MSMB,HOXA13,LGALS8,SEPX1,ARHGAP21,NFKBIL2,PIKFYVE,EFHC2,PKD1,GRIN2B,AKAP7,NAIF1,CDK5RAP1,KIAA1012,FLJ46111,XPA,FBXO18,PLA2G7,CCDC76,CCDC71,ACSS2,LRRN1,KRTDAP,PHC1,SFRS14,PLAC8L1,SVEP1,LGR4,STARD13,OR2A5,FBLL1,PCDH24,C6orf81,C2orf28,PLA2G2D,RPS15AP10,PCDHA8,PCGF6,NECAB1,RPL30,RIN2,CRABP1,GGT7,CCDC13,ALG5,SMYD1,SPATA5L1,LOC90784,KLHL10,NDRG1,TCTEX1D1,C7orf54,MIR941.1,ADIPOR1,TMEM106A,ZMAT2,NPM2,BBS9,PRND,LOC541471,ERI2,LRRC25,SLFN12L,ATXN7L3,TJP3,ACSM1,SLC12A8,RPUSD2,CAMK1D,ANKRD30B,PGLYRP4,UBR7,SRPX,HIST1H1T,FOXB2,DBX1,ATF3,SNORA7B,FUNDC1,GFPT2,HERPUD1,SEZ6L,IDI1,SV2A,EXOSC8,RPN2,HOXA5,ZNF502,ZNF436,PRRX2,PNO1,C20orf132,SHB,TMEM37,HLA.E,NR5A1,ANKRD34C,WDR92,PSMD7,SLC39A4,C20orf3,JTB,OR6K2,SEMA5B,SLC45A2,GH2,EID3,DMRT2,HS6ST3,SRRM5,CHST12,FAM184A,SCUBE2,FBXO2,WASF2,SLC47A1,CFDP1,C14orf142,KCTD14,TMEM30B,ZC3H12A,CCT4,MSX2P1,CIITA,CTNNB1,HMOX2,APOL1,NOS1AP,ASL,LENG8,BAI2,SLC9A8,MIPOL1,BCAS2,LOC149134,BATF,PML,ATP7B,PRRT3,NINJ1,RBM43,MBD3L2,C15orf38,KCNJ6,NDUFAF4,CORT,CCDC148,CHKA,FMR1NB,TMEM178,ALKBH7,RTL1,IL1F6,FAM95B1,SF3A2,ATG12,MGC42105,SEC14L4,CCDC61,TNPO3,MAPK9,UST,RNF167,ALMS1,MMP15,SIRPB2,ALG11,WDR91,TDRD3,ST6GAL1,ZNF362,DCAF17,APBB1,COX6A2,IMAA,LDLRAP1,WDR62,SMARCA5,HOXD12,RTN2,TIRAP,NLRP7,IFNGR1,NLRP12,DEFB122,CACNG6,MAGIX,INSM1,SPCS1,LOC152217,CDH13,NGFR,ZNF660,HIST1H4B,SRPK2,TEX13B,THAP8,FAM58A,AMPD1,MRGPRX1,LSM14A,AP3S1,VASN,DCAF8,C1orf226,FLJ42289,TPRG1L,ATG5,HPD,SMPX,TMEM68,ADO,PRPF19,PTPN1,METTL10,UTP14A,C6orf153,C9orf57,NMRAL1,NR2F1,EFR3A,RARB,HRC,GTF2IRD1,HDGFL1,LOC81691,CYP17A1,MIR1227,FMO1,DHX16,CCDC87,CCR6,DGKA,RUVBL2,SEMA4A,C17orf88,WDR88,ARSF,CENPJ,RAMP2,TRIB1,ZNF500,C9orf53,PARP9,LGI2,EFCAB4B,P4HB,FAM82A2,ST18,NT5C3L,LCE3C,LOC253039,TMEM39B,MYBBP1A,GPX6,BEND4,LOC283914,RGAG4,NFE2L1,C17orf47,RNF222,PRTFDC1,TALDO1,SNORD116.1,SLC2A2,BTBD6,SLC7A10,class
"B0303C",1.236038475,0,0.413130851,0,0.448163141,0,0,0,0,0,0,0,0,1.015605511,0,0,0,0,0,0,0,0.656722897,0,0,0,0,0,0,0,0,0,0.93023346,0,0,0,0,0,0.927285911,0,0,0,0,0,0,0,0.836114611,0,0,0,0,0,0,1.005835605,0,0,0,1.032715274,0.383297515,0,0,0.335823999,0,0,0,0,0.701375352,0,0,0.909316655,1.427293295,0,0,0,0,0,0,0.853719363,0,0.599437675,0.302012446,0,1.240288338,0,0,0,0,0,0.641602403,0,0,1.054999275,0,0,0,0,0,0,0,0,0,0.335823999,0,0,0,0.521047434,0,0,0,0,0,0,0,0,0,0,0.872417912,0,0.877484098,0,1.560485841,0,1.068813107,0.770246919,0,0,0,0,0,0,0,0,0,0,0.641602403,0,0,0,0,0,0,0,0,1.057443277,0.468575724,0,0,0,0,0,0,0,0,0.300280327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819271552,0,0,0.547559378,1.094843476,0.683268296,0,0,0,0,0,0,0.543535223,0,0,0,0,0,0,0,0,0,0,0.807849946,0,0,0,0,1.222140597,0,0,0.355469002,1.236038475,0,0.597734012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497618227,0,1.302351311,0,1.098399226,0,0.599002069,0.556894893,0,0.557188616,0,0,0,0,0,0,0,0,0,0,0.853719363,0,0,0.741843924,0,0.442318975,0.684998041,0,0,0,0,0,0,0,0.546241162,0,0,0,0,0,1.016376902,0.612879746,0,0.900018403,0,0.338903484,0,0.812040653,0,0,0,0,0,0,0,0,0,0.393150961,0,1.074343556,0,0,"I+B+"
"B1494C",0.310741628,0.782166264,0.596248972,0,0,0,0,0.981520068,0,0,0,1.052109777,0.786665098,0.372723718,0,0.748810389,0,0,0,1.15690381,0,1.078365276,0,0,0,0.590345361,0,0,0,0,0,0.760850827,0,0,0,0,0,0,0.402619682,0,0,0,0,0,0,0,1.077943025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406079996,1.254597395,0,0,0,0,0,0,0.544562507,1.204739091,0,0,0,0,0.625825752,0,0.746808771,0,0,0,0,0,0,0,1.374730069,0.20114702,0,0.451689906,0,1.755961112,0,0,0,0,0,0.572378669,0,0,0,0,1.406079996,0,0,0,0.391615431,0,0,0,1.082881739,0,0,1.544852154,0,0,0,0.649429848,0.604310597,0.925061266,0,0.80767829,0,0.831181466,1.247964692,0,0,0,0,0,0,0.994979646,0,0,0.974084421,0.451689906,0,0,0.946898303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733594022,0,0,1.43019441,0.614832171,0,0,0,0.25993773,0.655558799,0,0,0,0,0,0,1.168584816,0,0,0,0,0,0,0.8138007345,0,0,0,0,0.757164138,0.868416839,0,0,1.43019441,0,0.947893283,0,0,0,0,0,0,0,0,0.878886604,0,1.324814097,1.136423575,0,0.94607767,0,0,0.805650898,0,0,0.88602925,0.310741628,0,0,0,0,0,0,0,0,1.28277474,0,0,0,0,0,0,1.140220803,0,0.800992927,0.515549219,0,0,0,0.784473487,0.861304298,0.495123408,0,0,0,0,0,0,0,0,0,0,0.746808771,0,0,0,0,1.156178839,0.674871131,0.428142069,0,0,0,0,0,0,0,0,0,0.802733276,0,0.562082429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801500375,0,0.606049307,0,0,0,0,"I+B+"
"B1919C",0.459902699,0.831629589,0.672997067,0,0,0,0,1.041178611,0,0,0.384382642,0,0,0.819226566,0,0,0,0,0,0,0.323163456,0,0,0,0,0.768981392,0,0,0,0,0,0.53844232,0,0,0,0.976885371,0,0.82832489,0,0,0,0,0,0,0,0,0.837460085,0,0,0,0,0,0,0,0,0,0,0,0,0,1.050696928,1.233783277,0,0,0,0.536637086,0,0,0,1.751042239,0,0,0,0,0,0,0.958198886,0,0,0.81109797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565329222,0,0,0,0.696761114,1.050696928,0,0,0,0,0,0,0,0,0,0,0.962341898,0,0,0,0.443234352,0.434045561,0,0,0.625299068,0,1.380881308,0.803464701,0,0,0,0,0,0,0.801629493,0,0,1.478647472,0,0,0,0.914073897,0,0,0,0,0.700411927,0,0.632930976,0,0,0,0,0,0,1.157971347,0,0.638663937,1.05021947,0.706407174,0,0,1.547685077,1.167402262,0,0,0,0,0,0,0,1.308273439,0,0,0.471271202,0.614643542,0,0,0,0.841115715,0,0.767901776,1.447480693,0.670231824,0,0,0,1.05021947,0,1.170049049,0,0,0,0,0.966591959,0,0,0,0,0,0,0,0,0.873863005,0,0,0.474648348,0,0,0,0.459902699,0,0,0,0,0,1.466948955,0,0,0,0,0,0,0,0,0,1.035540187,0,0.568254836,0,0.874848435,0,0,1.009805817,0.840712553,0.920930186,0,0,0,0.700411927,0.682259902,0,0,0,0,0,0.958198886,0,0.65230915,0,0,0.859641179,0.546237526,0.757157797,1.091407988,0,0,0,0,0,0.244761292,0,0,0,0,0,0.642240726,0,0,1.04745984,0,0,0,0.588551192,0,0,0,0,0.533719874,1.072171956,0,0.727359043,0,0.67927814,0,1.047672837,0,0.613294773,"I+B+"
"R2236C",0,1.023738059,0.414224932,0,1.144539591,0,0,0.459036618,0,0,0,0,0,0,0,0.764127176,0,0,0,0,0.491722504,0,1.481065836,0,1.249267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53997622,0,0,1.183691485,0,0,0,0.550621763,0,1.119463788,0,0,0,0,0,0,0.68107755,0,0.746635915,0.347653912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980414078,0.784331544,0.619622017,1.306197585,0,0,0,0,0.680895791,0,1.214260091,0,1.029516848,0,1.041862739,0,0,0,0.993195772,0,0,0,1.454203581,1.459441592,0,0,0,0,0,0,0,0,0,0.471637517667,0,0,0,0,0.802036146,0,0.835688796,0,0,0,0.642376331,0.910298233,0,0,0,0,0,0,0,0.960593739,0,0,0,0,0.480619917,0,0.933018854,1.094832745,0,0,0,0,0,0,1.000423675,0,0,0.738990883,1.103026192,0,0,0,0.527435212,0.63100247,0,0,0,1.280952991,1.043135841,0,0,0,0,0.969378989,0,0,0,0,0,0,0,0,0,0,0.986124997,1.126848651,0,0,0.8759385755,0,0,0,0,0.793579618,0,1.229072286,0,1.043135841,0,0,0,1.038362053,0.825369363,0,0,0,0.901192879,0,0,0,0.340605179,1.029010746,0,0,0,0,0,0,0,0.466705962,0,0,0,0,0,1.370443947,0,0,0,0.634986147,0,0,0,0,1.218367836,0.871640924,0,0,0,1.104069138,0.697187126,0,1.049101711,0.640278258,1.068847061,0,1.250466273,0,0,0,0.882675201,0,0,0,0,0,0,0,1.126848651,0.451664069,0,0,0.850007243,0,1.023877905,0,0,0,0,1.056470136,0.987150866,0,0,0,0.752916626,0.409997443,0,0.971107092,0,0,0,0,0,0.807502623,0,0,0,0,0.588611289,0,0,0.409729133,0,0,0,1.417922229,0,0.359741958,"I+B+"
"R2326C",0.496138234,0,0.170984838,0,0,0,0,0,0,0,0.847927919,1.480264773,1.0126356015,0,0,0,0,0,0,0.887512537,0.912391728,0,0.824791424,0,0.937433271,0,0,0,0,0,1.235140282,0,0,0,0,0.390643167,0,0,0,0,0,0.866935128,0,0,0,0.599244136,0,0.739162616,0,0,0,0,0,0,0.757547643,0,0,1.029193893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993835592,0,1.0554089,0.670121772,1.081636924,0,0,0.843804226,0,0,1.247220388,0,0,1.376146122,0.262429661,0,0.293611203,0,0,0.76039067,0,0,0.993314883,0,0.59705466,0,0,0,0.637766015,0,0,0,0,0.384979466,0,0,0,1.704765876,0.965733631,0.243115253,0.76447248,0,0,0,1.038265214,0.711244415,0.619231669,0,0,0,0,0,0,0,0,0,0,1.235140282,0,0,0.894546358,0,0.293611203,0,1.28790312,0,0,0,0,0,0,1.164182674,0,0,0,0,0.792930858,0.897066107,0,0,0,0.923157947,0,0,0,0,0,0,0.923388237,0,0,0,0,0,0,0,0,0,0.618368688,0.760045822,0,0,0.861478252,0.934770658,0,0.910346294,0,0,0.644167169,0.914612777,0.663514504,0,0,1.106306282,0.688400344,0.171978161,0,0,0,0,0.532855527,0,0.838323286,0,0,0,0,0.999059691,0,0,0,0,0,0,0.496138234,0,0,0,0,0,0,0,0,0.545432369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538818397,0,0,0,0,0,0,0,0,0,0,0,0,0.760045822,0,0,0,0,0.724593074,0.395412982,0,0,0,0,0.615329291,0,0,0,1.048200129,0.615668947,1.296012244,0.768630405,0,0,0,0,0.719996353,0,0.766029336,0,0,0,0,1.06326215,0,0.814842772,0,0,0,0,0,0,0,"I+B+"
"R2692C",0,0.806773771,0,0,0,0,0,0,0,0,0.800424044,0,0.641319428,1.090289283,0,1.060304529,0,0,0,0,0.506870146,0,0,0,0.694188753,0.590303462,0,0,0,0,0.556554089,0,0,0,0,0,0,1.079718022,0.97421133,0,0,1.284340049,0,0,0,0.542336147,0,1.00296628,0,0,1.186678786,0,1.009313742,0,0.708159668,0,0.848632288,0,0,0,0,0,0,0,0,0.513537661,0,0,0,0,0,1.125838642,0,0,0,0.817580264,0.624908424,0,0,0,0,0,0,1.87395872,0,0.744901409,0,0.237076853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411601765,0,0,0,0,0,0.764741201,0.63784399,0,0,0,0.805116028,0,0,0,0,0,0,0,0,0,0,0,0,0.556554089,0,0,0.86284264,0,0.237076853,0,1.377823947,0.692898402,0,0,0,0,1.700306066,0.673778372,0,0,0,0,0,0.412652306,0,0,0,0,0,0.818632331,0,0,0,0.395181404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520380386,0.242483232,0,0,0.519479263,0.483596821,0,0.720986147,0.665589929,0,0,0,0.299423689,0,1.217292591,1.260012131,0,0,0,0,0,0,0.830550244,0,0,0,0,0,0.362477468,0,0,0.222906854,0,0,0.804384656,0,0,0,0,0,0,1.317888823,0,0,0,0,1.30728759,0.717288827,0,0,0,0,0,0,0.648732293,0,0,0,1.58682124,0,0,1.700306066,0.323239143,0,0,0,0,0,0.624908424,0,0,0.730995479,0,0,0,0.336160962,0,0,0,0.949866481,0,0.652171458,0,0,0,0,0.880377221,0,0,0,0,0.653230982,0,0.622961465,0,0.688499332,0,0,0,0,0.385530168,1.010337324,0.564186492,1.526260484,0,0.754855043,0,0,0,0,"I+B+"
"R2791C",0,0,0,0,0.820375951,0,0,0.796841425,0,0,0,0,0,0,0,0,0,0,0,0,0.838016659,1.066017746,0.470504808,0,0,1.098958618,0,0,0,0,0,0.804362097,0,0,0,0,0,1.061777708,0.610389326,0,0,0,0,0,0,0,1.091743889,0.508039517,0,0,1.16588436,0,0,0,1.035997735,0,0,0.805767082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801064378,0,0,0.885515543,0,0,0,0.521540743,0,0,0,0,0,0.697618231,0,0,0,0,1.10174959,0,0,0,0.984614137,0.575616648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664909329,0.816057404,0.656176125,0,0,0,0.744256632,0.930695373,0,0,0,0,0,0,0,1.464482912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435795072,0,1.034538515,0.76263972,0.647946879,0,0,0,0.430987009,0,0,0.670568191,0,0,0,0,0,0,0,0.558052817,0.685894076,0,0,0,0,0,0,0,0,0,0.487323836,0.697627495,0,0,0,0,0,0,0,0,0,1.300483386,0.713752355,0,0,0.53476234,0.247979738,1.400361346,0,1.292217258,0.77567334,0,0.964417133,0,0.360094639,0,0,1.403388486,0,0,0,0,0.920162844,0,0,1.006152303,0,0,0.796657346,0,0,1.634838295,0.769443498,0,0,0,0,0,0,0,0,0.908403985,0,0,0,1.23057165,0,0,0.412065758,1.156145381,0,0,0,0,0,0,0.967774815,0,0,0,0,0,0,0,0.697627495,0,0,0,0,0.662715283,0,0,0,0.88021085,0,0.773068118,1.05651654,0,0,0,0.551332659,0,0,1.32253859,0,0,0,0.659934838,0,0,0,0,0,0,0.851001797,0,0.537282204,0,0,0,0,0.648438336,0,0.714505799,"I+B+"
"R2812C",0,0,0.523227591,0,0,0,0,0,0,0,0.921636283,0,0,0,0,0,0,0,0,0.579463466,0,0,0,0,0,0.962105584,0,0,0,0,0.844903532,0.925095101,0,0,0,1.099309801,0,0,0,0,0,0,0,0,0,0,0,1.068871618,0,0,0.621964569,0,0.919222229,0,1.09319726,0,0,0,0,0,0,0,0,0,0,0.682481883,0,0,1.004771245,0,0,0,0.891602484,1.473080599,0,0,0,0,1.115490616,0.254472993,0,0,0,0,0,0.674656179,0,0.811350601,0,0,0.583542211,0,0,0.445179902,0,1.036339714,0,0,0,1.270801385,0,0,0,0,0.320588406,0,0,0,0,0,0.649025429,0.180776161,0,0,0,0.642767432,0,0,0,0,0,0,0,0,0,0,0,0,0.844903532,0.497478676,0,0.906604142,0.364546624,0.811350601,0,0,0,0,0,0,0,0,0,0,0,0,0,1.738128625,0.557599203,0,0,0,0,0,0.619063113,0,0,1.131284247,0,1.051378447,0,0,0,0,0,0,0,0,0,0,0.629566031,0,0,0,0.999636456,0,1.016096887,0,0,0.914890735,0,0.709068379,0,0,0.725260462,0.74150328,0,0.547226997,0,1.044136112,0,0.752567247,0,0.820556411,0,0.490545308,0,0,0,0,0,0.343749626,0,0,0.414030639,0,0,0.567494574,0,0,0,0.40835656,0,0,0,0,0,0,0,0,0.970088474,0,0,0,0,0,0,0,1.424609092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629566031,0.649587173,0,0,0,0.894467858,0.776278558,0,0,1.004317532,0,0,0.72002677,0,0,0.853096869,0,0.910873398,0,0.669301317,0,0,0,0.90553013,0,0,0,0,0,0,0.566260492,0.532964278,0.87126096,0,0,0,0,0,0,0.761235414,"I+B+"
"B0202C",0,0,0,0,0,0,0,0,0.938542208,0.556603874,0,0,0,0,0.562467338,0,0.404972215,0,0.364540677,0,0,0,0,0,0,0,1.415901204,0.360231041,0,0,0,0,0.53963273,0,0,0,0.6913376245,0,0,0,0.611516082,0,0.821903163,1.225285683,0,0,0,0,0.67643488,0,0,0,0,0,0,0,0,0,0.675532589,0.472428758,0,0,0,0,0,0,0.918988083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567704686,0,0,0,0,0,0.77278842,0,0,0,0.31104053,0,0,0,0.525346646,0,0,0,0,0.925289596,0.85954147,0,0,0.776631273,0,0.925289596,0,0,0,0,0.682376812,0,0,0,0,0,0,0,0.51413057,0,0,0.753793229,0,0.681892888,0,0.845039485,0,0,0,0,0,0,1.005849226,0,0,0,0,0,0,0,0,0,0,0,0.762546637,0,0,0,0,0,0,0,0,1.135815401,0.544229787,0,0,0,0.767185092,0,0,0.876887896,0.394345777,0,0,0.533515894,1.019570797,0,0,0.85445284,0.709859298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990921284,0,0.826266275,0,0.655587256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62725602,0,0,0.826266275,1.046013839,0,0,0.477156795,0.85445284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.429057491,0,0,0,0,0,0,0,0,0,0,0,0.377057635,0,0,0,0,0,0,0,0,0,0,0.245494409,1.035497535,0,0,0,0,0,0,0,0,0,0,0,0.465096152,0,1.369576004,1.485450483,0,0,0,0,0.609526945,0,1.050565955,0,0,0,"I-B+"
"B0782C",0,0,0,1.201110312,0,0,0,0,0,0,0,0,0,0,0.871972937,0,1.260201872,0.812284488,0.726357457,0,0,0,0,0,0,0,0,0,0,0.891026249,0,0,0.83339197,0,0.817606012,0,0.574669236,0,0,0,0.908239728,0,0,0,0.4484087285,0,0,0,0,1.204275382,0,0,0,0,0,0.974458119,0,0,0.574669236,0.867117454,0,0,0,0.91877818,0.755952522,0,0,0,0,0,0,0,0,0,0,0,0,0.949153512,0,0,0.643875824,0,0,0,0,0,0,0,0,0,0,0.865309337,0.822951112,0,0,0,0.83583535,0,0.332002625,0,0,0,0.468480166,0.686835223,0,0.753660982,0.646146056,0,0,0,0,0,0,0.646146056,0.716613033,0,0,0,0,0,0.918861346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523111241,0,0,0,0,0,0,0,0,0,0.572992338,0.501883681,0.613240814,0,0,0.627033673,0,0.756015814,0,0,0,0,0,0,0,0,0,0,0.415710874,0.642837269,0,0.873902067,0,0.379311607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.091895673,0,0,0,0,0,0,0,0,1.280223306,0,0,0,0,0.735915269,0,0,0,0,0.064416125,0,0,0,0,0,0.563051325,1.243239592,0,0,1.280223306,0,0,0,0,0,0,0,0,0,0.478910002,0,0,0,0.69025761,0,0,0,0,0,0.790473796,0,0,0,0,0.801468018,0.40441862,0,0,0,0.640812895,0,0,0,0,0,0,0,0,0.947693553,0,0,0,0,0,0,0,0,0,0,0,0.700746058,0,0.755952522,0,0,0,0.443296666,0,0,0,0,0,0,0,0,0,1.289004735,0,0,0,"I-B+"
"B1452C",0,0,0,1.307582701,0,0,0,0,0.689865893,0.642633423,0,0,0,0,0,0,0.918022686,1.061086424,0.765515082,0,0,0,0,1.250574355,0,0,1.131309112,0.567127356,1.016140667,0,0,0,0.870044425,0,0.82231222,0,0,0,0,0.546556472,0,0,0.565437718,0,0.420543709,0,0,0,0.882676184,0,0,1.291635598,0,0,0,0,0,0,0,0.424117636,0,0,0.488617228,0,0,0,0,0.844678523,0,0,0.585185208,0,0,0,0,0,0,0.861658228,0,0,0,0,0,0,0,0,0.863203538,0,0,0,0,1.306041816,0,0,0,0,0.362461824,0,0.783175462,0,0,0.136955696,0.576813603,0.729109805,0,0.909015014,1.116326431,0.136955696,0,0,0,0,0.838327551,1.116326431,0.249169952,0,0,0,1.140471625,0,0.38063987,0,0,0,0,0.581169927,0,0,0,0,1.28322158,0,0,0,0,0,0,0,0.64296137,0,1.34885917,0,0,0,0.576081838,0,0,0,0,0.754313502,0,1.079740856,0,0,0,0.733002372,0.863271768,0,0,0,0,1.34542807,0.988574725,0.783077295,0.731606043,0,0,0,1.286486977,0,0,0.784673293,0,0,0,1.017314058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639832303,0,0,0,0,1.138960783,1.162856268,0,0.564772443,0,0,0,1.135806571,0,0,0.66403077,0,0,0,0,0,0,0.67252342,0.784673293,0,0,0,0,0,0,0,0,0.61445695,0,0,0,0,0,0.405685593,0,0,0,1.136237945,0.772567075,0,0.980883585,0,0,0.748486477,0,0,0,0,0,0,0,0,0,0,0.902068516,0,0,0.482625607,0,0,0,0,0,0,0,0,0,0,0,0,0.329942595,0,0.566709292,0,0,0,0,0,0,0,0.335751228,0,0,0,"I-B+"
"B1477C",0,0,0,0,0,1.017951003,0,0,0,0.503464177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728314991,0,0,0,0,0.918821383,0.909736282,0,0,0,0.6652541,0,0,0.262170473,0,0,0.649812593,1.052586468,0,0,0,0.601843455,0,0,0,0,1.039978034,0,0.762702464,0,0.748350945,0,0,0,0,0.262170473,0.643761158,0,0,1.439575802,0,0,0,0.980827124,0,0,0,1.292123374,0,0,0,0,0,0,0,0,0,0,0,0.682245036,0,0,0,1.109157304,0,0,0,0,0.605133839,0,0,0,0,0.272709909,0,0.647591225,0,0,0,0.459478268,1.018939945,0,0,0.934802954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456536976,0,0,0,0,0.780267158,1.152057261,1.268933085,0,0,0,0,0,0,0.51486849,0,0,0,0.306518585,0,0,0,0,0,0,0,0.791194604,0,0,1.176994859,0,0,0,0,0,0,0,0,0,0,1.068526962,0,0.652916728,0.50864993,0.556017242,1.125503447,0,0,0,0,0,0.674297541,0.618623095,0,0,0.949056442,0,0,0,0,0,0,0,0.787389507,0,0,0,0,0,0,0.836448453,0,0.657763373,0,0,0,0,0.698129868,0,0,0,0,0,0,0,0,1.054264463,0,0.672556183,0,0,0,0.657763373,0,0,1.568143386,1.155201948,0.674297541,0.476736849,0,0,0,0.412490322,0,0,0,0,0,0,0,0,0,0.450440224,0,0,0,0,1.007723452,0.746676411,0,0.859500454,0,0.716361628,0,0,0.887095993,0,0,0,0,0,0,0,0,0,0,0,1.150829966,0,0,0,0,0,0.689514489,0,0,0,1.117740024,0,0,0.959056202,0,0.556038334,0,0,0,0,0.301384053,0,1.216744969,0,0,0,"I-B+"
"R2682C",0,0,0,0.860872063,0,0.660963357,1.129524043,0,0,0.646457223,0,0,0,0,0.727161094,0,0,0,0,0,0,0,0,0,0,0,0.604699799,0.92835855,0,0,0,0,0.873902023,0.914955836,0.861545042,0,0,0,0,0,0,0,0,0.739169186,0,0,0,0,0,0,0,0,0,0.680485754,0,0,0,0,0,0,0,0,0,0.913721418,0.91230187,0,0,1.312363169,0,0,0,0,0,0,0,0,0,0,0,0,0.82790121,0,0,0,0,0,0,0,1.26274428,0,0,0,0,0,0,0,0,0.90312928,0.229362625,0,0,0.323360071,0,0.623212909,0,0,0.756258784,0.323360071,0,0,0,0,0,0.756258784,0,0,0,0,0,0,0,0,0,0.693643383,0,0,0.970337829,0,0,0,0.594135731,0,0,0,0,0,0,0.744117233,0.893418078,0,1.091789593,0,0,0,1.297486372,0.735552836,0,0,0,0,0,0.40522616,0,0,0,0,0,0,0,0,0,1.589101819,0,0,1.223628774,1.293928592,0,0.751532899,0,0,0,0,0.748579924,0,0,0,0,0,0,0,0,0,0,0.59650217,0,0,0,0,0,0,0,0,0,0,0.811049393,0,0,0.372485761,0,0,0.83057146,0,1.012174039,1.282738661,0,0,0,0,0.72051242,0,0,0,0,0.846271187,0,0.444986114,0,0,0.844294425,0,0,0,0.926673987,0,0,0,0.378762613,0,0,0,0,0,0,0,0,0,0.755324179,0,0.980170358,0.934035697,0.976481524,0,0,0,0,0,0,0,0,0,0.68793183,0,0,0.915232656,0,0,0.382038654,0.70587049,0,0,0,0,0,0,0,0.91230187,0,0.817067373,0,0,0,0.789442059,0,0,0,0,0,0.8225234855,0,0,0,1.21292109,0,"I-B+"
"R2710C",0,0,0,0,0,0.338426314,1.289460561,0,0.368403201,0,0,0,0,0,0,0,0,0.489551573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771842761,0.42295197,0,0,0.767309136,0,0,0.922502658,0,0,1.067529273,0,0.596905581,0,0,0,0.4928966455,0,0,0,0,0.853381888,0,1.118096836,0,0,0.767309136,0,0,0,0,0.5873071915,0.799255368,0,0,0,0,0,0,0,0,0,0,0,0,0.611424746,0,0,0.709652142,0,1.031591959,0,0,0,0,0,0,0,0,0,1.11970481,0,0,0,0,0.91410348,0.239934532,0,0,0.889478346,0,0,0,0,0,0.889478346,0,0,0,0,0.550981663,0,0.95840541,0,0,0,1.313264076,0,0,0,0,1.206198087,0,0,0,0.639585624,0,0,0,0,0,0,0,0,0,1.316994371,0.960012417,0,0.629044482,0,0,0,0,0.990451519,0.125693052,0,0,0,0,0,0,0,0,0,0.788208287,0,0,0,0,0,0.591381628,0,0,0,0,0.521354635,0,0,0,0,0.716647423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737882485,0,0,0.250992622,0.79986763,0,0,0.401049719,0,0,0,0,0,0,0,0,0,0.914960935,0,1.171768968,0,0,0,0,0,0,0,0.541269779,0,0,0,0,0,0.623201739,0,0,0,0,0,0,1.135799799,0,0,0,0,0,0.94392628,0,0,0,0,1.129243039,0.955193996,0,0.654229228,0,0,1.017882379,0,0,0,0,0,0,0.958288599,0,0.799255368,0,0.472483676,0,0.671859837,0.988668993,0.561819689,0,0,0,0,0,0.328762618,0,0,0,0.791753546,0,"I-B+"
