sample_name,FBRS,ZFP82,IGFBP5,MLF2,ZSWIM3,DLGAP4,MSMB,TSHZ2,TERF1,PKD1,BEX4,MFGE8,KLHL34,LOC100130017,MTNR1B,CCDC71,HIST3H2BB,TMED8,GBX1,SVEP1,FAM151B,C20orf202,C6orf81,ACBD4,CSMD3,BMX,RAB36,PTPLAD1,PCDHA2,PCDHA8,ELP2,KLHL32,ALG5,SMYD1,LAMB2L,B4GALT1,S100A4,GAPDHS,RAB11A,LOC388946,SLED1,SLFN12L,PPP2R3C,FAM45A,FAM45B,STX12,PDHA1,CAMK1D,PLAG1,FOXB2,ATF5,TOR3A,FUNDC1,RNF126,EXOSC8,HOXA5,ZNF502,TNIK,DHX29,SLC39A6,RUNX2,GPR21,HIST3H2A,MSX2P1,KCNA10,MRPL53,PRRG1,ST3GAL4,CACNA1F,SLC22A16,RP9P,C3orf66,FBXO40,CORT,CLPTM1L,FBXO10,SNRPG,FAM65A,SPHKAP,ZNF526,CSH2,PACS1,C7orf23,RNASE8,CEACAM20,APBB1,LDLRAP1,SLC25A42,GAPDH,RPUSD3,DOCK11,GPR37L1,CDH13,PRAF2,TTL,TEX13B,AREG,VASN,RETSAT,TPRG1L,MMACHC,SLC6A14,USP3,UTP14A,GTF2IRD1,HDGFL1,TMEM67,C21orf45,NOP14,FEM1B,CCDC87,C12orf10,NKD2,FLJ40292,FLOT1,C6orf115,GLS2,ARSF,CYP3A4,CENPJ,TREM1,MYH4,ITPRIPL2,EFCAB4B,GRK4,MYBBP1A,GPX3,HDAC9,SNORD115.33,SYN1,SNORD116.1,C9orf102,class
"B0303C",0.728135239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202468632,1.005835605,0,0,0.335823999,0,0,0.744946259,0.854567006,0,0,0,0,0.599437675,0,0,0,0.987505683,0,0,0,1.054999275,0,0,0,0,0.335823999,0,0,0,0,0,0,0,0,0,0,0,0.526880068,0,0,0,0,0.96689865,0,0,0,1.490279116,0,0,0,0,0.480193365,0,0,0,0,0,0,0,0,1.145203768,0.498525475,1.140881624,0,0,0,0,0,0,0,0,0.373091951,0,0,0,0,0,0,0,0,0,0.442318975,0,0.867800858,0,0,0,0,0,0,0,1.198105705,0,0,1.016376902,0,0,0,0,0.131819137,0,0,0,"I+B+"
"B1494C",0.312621028,0,0,0,1.052109777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.673697914,0,0,0,1.406079996,1.254597395,0,1.210691847,0.51155993,0,0,0.647840501,0,0,0,0,0,0.715532137,0.185236992,1.374730069,0,0,0,0,0,0,1.406079996,0,0,0,0,0,0.83355414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552738988,0,0,0.537253161,0.815394943,0,0.899418201,0,0,0.784534549,1.043699926,0,0,0,0,0,0.468884071,1.222034391,0,0.642308986,0.62330295,0,0,0,0,0,0.688023606,0,0,0,0,0,0,0,0,0,1.156178839,0,0,0,0,0,0,0,0,0,0.588191989,0.822683484,0,0,0,0,0,0,0,0.82054035,0,0,"I+B+"
"B1919C",0.667098037,0,0,0.384382642,0,0,0,0,0,0,0,0,0,0,0,0.976885371,0,0.749228169,0,0,0,0,0,0,0,0,0,0,1.118726268,0,0,0,1.050696928,1.233783277,0,0,0,0,0,0,0,0,0,0.868231346,0.868231346,0,0,0,0,0,0,0,0,0,1.050696928,0,0,0,0,0,0.769261099,0,0,0,0,0,0.771297335,0,0,0,0,0,0,0,0.717625333,0,0,0.378613335,0.505007302,0,0,0,0,0,0.878239522,0,0,0,0,0.496082221,0.509711943,0.93386959,0,0.355033187,0.429517392,1.466948955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859641179,0,0,0,0,0,0,0,0,0,0,0,0,0.642240726,0,0,0,0,0.558955841,1.235107144,0,0.722821857,"I+B+"
"R2236C",0.407530888,0,0,0,0,0,0,0,0,1.249267559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902270581,0,0,0,0.701241136,0,0,0,1.424117893,1.424117893,0,0.761593143,0,0,0,0,0,1.459441592,0,0,0,0,0,0,0,0,0,0,0,0.730534656,0,1.39272909,0,0,0,0,1.561049981,0,0,0,0,0,0,0.225850004,0,1.479441639,0,0,0.779337211,0.446287222,0,0.901192879,0,0,0.841445266,0.518387706,0,0,0.600336036,0.48796959,0,0,0,0,0,0.501063812,0,0,1.250466273,0,0,0,0,0,0,0,0,0.665694158,0,0,0,0,0,0,1.056470136,1.161459064,0,0,0,0,0,0,1.204834687,0.573672695,0,0,0.87338436,"I+B+"
"R2326C",0,0,0,0.847927919,1.480264773,0,0,0,0,0.937433271,0.85802426,0,0,0,0,0.390643167,0,0.783671712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159452165,0.450690815,0,0.914569395,1.3057421,0.843804226,0,1.302071045,1.302071045,1.001723646,0.720214423,1.376146122,0,0.76039067,0,0,0,0,0,0,0,0,0,0,0,0.841157556,0,0,0.62649279,0,1.637699669,0,0,0,0,0.793941179,0,0,0,1.012306462,0,0.882555125,0,0,0,0,0,0,0.375344775,0,0.532855527,0,0,0.8572166,0,0,0,0.472703196,0.735997437,0,0,0,0,0,1.560139953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615329291,0,0.43264437,0,0.768630405,0,0,0,0,0.512532959,0.476338313,0,0,"I+B+"
"R2692C",0.7063100975,0,0,0.800424044,0,0,0,0,0,0.694188753,1.147292375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009313742,0,0,0,0,0,0.779242454,0.393244209,0.716194515,0,0,0.677494285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169346329,0.669132204,0,0,0.657367573,0,0.733369493,0,0,0,0,0,0,0,0.553849685,0,0,0,0.42964644,0,0,0,0,0.96377749,0,1.260012131,0,0,0,0,0,0,0,0.4062622,0,0,0,0,0,0,0,0,0,1.58682124,0,0,0,0,0,0,0,0,0.553043318,0,0,0,0,0,0,0.652171458,0,0.414171675,0,0,0,0,0,0,1.027755804,0,0,0,"I+B+"
"R2791C",0.188996788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674974792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10684848,0,0,0,0,0,0,0,0.697883909,0,0,0,1.10174959,0,0,0.984614137,0,0,0,0,0,0,0,0,1.334747067,0,0,0.74533669,0,0.768605753,0,0,1.552295651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688867168,1.292217258,0.964417133,0,0,0,0.57173286,0.778789737,0,0,1.051172999,0.769443498,0,0,0,0,0.560818251,0,0,0,0,0,0,0,0,0,0,0,0.667613992,0,0,0,0,0,0,0.773068118,0,0,0,0,0,0,0,0.821280206,0,0,0,1.045353871,"I+B+"
"R2812C",0,0,0,0.921636283,0,0,0,0,0,0,1.268926392,0,0,0,0,1.099309801,0,0.602316233,0,0,0,0,0,0,0,0,0,0,0,0.919222229,0,0,0,0,0,0,0.818937945,1.012771691,0,0.752750485,0.728216033,1.115490616,0,0,0,0,0.864994935,0,0,0.583542211,0,0,0,0,0,0,0,0,0,0,0,0.572447909,0,0,0,0,1.440579551,0,0,2.079901677,0,0,0,0,0.748799555,0,0,0.944618813,0.831154818,0,0,0,0,0,1.031887455,0,0.752567247,0,0,0,0,0,0,0,0.908359932,0.40835656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963342171,0,0,0,0,0,0.914967995,0.472533131,0,0,0,"I+B+"
"B0201C",0,1.45547595,0.5964782295,0,0,0.558925457,0.630906219,0.877515238,0,0,0,0,0,1.226468208,0.609984193,0,1.236729124,0,0.798201056,0,0.940831072,1.196378328,0,0.718867837,0,0,0,0.601452426,0,0,1.261223608,0,0,0,0,0,0,0,0.402594365,0,0,0,0.666665141,0,0,0,0,0,1.26593539,0,0,0,0,1.050869428,0,1.110830749,0.895772491,0,0,1.261223608,0,0,1.236729124,0,0,0,0,0.390717727,0,0,0.829441384,0,0,1.524650432,0,0,0.838227806,0,0,0,0,0,0.49037998,0,0,0,0,0.6190796835,0.9522926465,0,0,0,1.038902136,0,0,0,0,0,0,0.735319198,0,0.597973569,0.586532138,0,1.357852313,0.667909173,1.147984131,0,0.429070812,0,0,1.17847151,0,0.051627841,0,0.325802824,0,0.918558598,0.683592998,0,0,0,0,0,0.429070812,0,1.931789872,0,0,0,1.300814597,0,"I-B-"
"B06150C",0,0,0.743517032,0,0,0,0.53606047,0.64497275,0.627709326,0,0,0,0,0,0.533234716,0,1.363854567,0,0,1.254629437,0,0,1.177909466,0.828483494,0,0,1.076812925,0.47368863,0,0,1.165201301,0,0,0,0.680179179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114380958,0,0,0,0.711542598,0,0.697040125,0.482399345,1.165201301,0,0,1.363854567,0.66003565,0,0.769539306,0,0,0.741990546,0,0,0,1.521817587,0,0,0,0,0,0,0.931267947,0,0.845172401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640621546,0,0,0.506750004,0,0,0.72444449,0,0,0,0,1.682830428,0.168363156,0,0,0.725488741,0,0.298325434,0.992974504,0,0.610389237,0.840029619,0,0,0,0,0,0,0.168363156,0,0.210587792,0,0,0,0,0,"I-B-"
"B1077C",0,0,0.554222479,0,0,0,0.632964361,0,0.550690277,0,0,0,0.891523908,0.695091532,0,0,0.373043846,0,0,0,0,0,0.6670050215,0.598402446,1.171876182,0,0.522667987,1.105429813,0,0,0.94414277,0,0,0,0.528141769,0,0,0,0,0,0,0,0.527884564,0,0,0,0,0,0,0,0,0.489924395,0,0,0,0,0.696421253,0,1.020731397,0.94414277,0,0,0.373043846,0,0,0.793774473,0,0,0,0,0,0,0,0,0,0,1.134767692,0,0,0.992328405,0,1.106295743,0.582234394,0,0,0,0,0,0.506788546,0,0,0,1.567638118,0,0,0,0,0,1.082174253,0.847155034,0,0,0.5644452,0,1.211170746,1.614049342,0.832288192,0,0.767223855,0,0,0.729091316,0,0.830462277,1.111519548,0,0,1.137488981,0.868253479,0,0,0,0,0,0.767223855,0,0.644895555,0,0,0,0.955120837,0,"I-B-"
"B1493C",0,1.264669341,0,0,0,0.700673266,0,0,0,0,0,0.89716478,0,0,0.913116642,0,1.127457517,0,0,0.785536245,0.722414417,0,0.533465554,0,0,0.391511022,0,0,0,0,0,0.52250866,0,0,0,0,0,0,1.104959291,0,0,0,0,0,0,0,0,0,1.008672608,0,0,0,0,0.449165796,0,0,0.221731239,0.22542808,0.684131882,0,0,0,1.127457517,0,0,1.275052718,0,0.5441726615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0587494665,0,0,0,0,0.718260459,0,0,0,0,0,0,0,0,0.631101647,0,0,0.586409284,0,0,0,0,0,0,1.22720992,0,0,0.910277581,0,0,0,0,0,1.00585042,0,0,0,0,0,0,0,0,0,1.023873284,0,0,0,0,0,0,"I-B-"
"B1614C",0,0,0.788470686,0,0,0,1.291079452,0,0,0,0,0,1.071945214,0,0,0,0,0,0.554776124,0.136481567,1.082872733,0,0,0,1.027590744,0,0.916244043,0.933239576,0,0,0,0,0,0,0,0,0,0,0.852406443,0,0,0,1.342645106,0,0,0,0,0,0,0,1.342454242,0.344493407,0,0.307125726,0,0.870307607,0,0.521317546,0,0,0,0,0,0.847489119,0,0.890686131,0,0.729455398,0.748670459,0,0,0,0,0.831407825,0,0,0,0,0,0,0,0.646145055,0.669670852,0,0,0,0,0,0.450952115,0,0,0,0,0,0,0,0,0,0,0,0,0,1.221090532,0,1.112447109,0,0,0,1.033784529,0,0,0.40770759,0,0,0.587871531,0.6980965,0,0,0.954421883,0,0,0,0.598532564,0,1.033784529,0,0,0,0,0,0,0,"I-B-"
"B1657C",0,0,0,0,0,1.0427042455,0.756718397,0,0,0,0,1.266362768,0,1.116246435,0.581689948,0,0.802196089,0,0,0,0,1.169716304,0.392470852,0,0.877929101,1.187376869,0,0,0,0,0.305545852,0.567161235,0,0,0,0,0,0,0,0,0,0,1.049133537,0,0,0,0,0,0.505875069,0,0,0,0,0,0,0,1.080434122,0.771057418,0.542954683,0,0,0,0.802196089,0,0,0,0,0.727124052,0,0,0.592348925,0,0,0,0,0,0,0,0,0,0,0,1.074455336,0,0,0,0,0.57703945,0,0,0,0,0,0,0,0,0.887401066,0,0.807627206,0.750885779,0,0.986360742,0.665814351,0,0,0,0.849872984,1.699673723,0.827565285,0,0,0,0,0.944873695,0,0.834761535,0,0,0,0,0,0,1.154354034,0,0.827565285,1.186009795,0,0,0,0,0,0,"I-B-"
"R2026C",0,0,0.42543012,0,0,0.837491067,0,0.873591366,0.530963296,0,0,0,0.812385074,0,0.39964778,0,0,0,0,0.437143928,0,0,0.582217065,0,0,0,0,0,0,0,0,0.530391166,0,0,0.46262151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486069443,0,0,0.538736605,0,0,0,0,0,0,0.80169674,0,0,0,0,0,0,0.344002408,0,0.888739969,0,0,0,1.020915702,0,0,0.755071575,0,0,0.881203434,0,0,0,0,0.537933663,0.635574774,0,0,0,0.84232557,0,0,0,0,0.991954884,0.332394658,0,0,0,0,0,0,0,0,0,0,0.500208948,0,0,0,0.800991644,0,0,0.826776799,0.975806254,0,0,0,0,0,0,0,0.507690246,0,0,0,0,0.334495985,0,"I-B-"
"R2031C",0,1.02446419,0.083345653,0,0,0,0,0,0.635782634,0,0,0,0.555630679,0,0,0,0,0,0,0.908907306,0,0.306435136,0.681154224,0.663158674,0,0,0,0,0,0,0,0.667450316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774979214,0.380057462,0,0.574881525,0,0,0,0,0.568574835,0,0,0,0,1.076960082,0,0,0,0.6220959,0,0,0,0,0.900107578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284890242,0.463372546,0,0,0,0.488591145,0,0,0,0,1.0066793595,0,0.419725326,0,0,0,0,0,1.063702975,0,0,0,0,0,0,0,0.247316721,0,0,0,0.827980005,0,0,0,0,0,0,0,0,1.247210732,0,0,0,0.512264311,0,"I-B-"
"R2163C",0,0,0,0,0,0,0,0.710881724,0,0,0,1.081881402,0,0,0,0,0,0,1.256447181,0,0,0,0,0.794873803,0,0,0.859445085,0,0,0,0,0,0,0,0.861695077,0,0,0,0.817425077,0,0,0,0,0,0,0,0,0,0,0,1.258794816,1.746115643,0,0,0,0,0,0.741287538,0,0,0,0,0,0,0,0,0,0,1.316728895,0,0.850956148,0,0,0,0,0,0.81386829,0,0,0,0,0,0.7260109,0,0,0,0,1.185662567,0,0,0,0,0,0,0,0,0,0.934352763,0,0,0,1.465959899,0,0,0,0,0,0.687537633,0,0.953468032,0,0,0,0,1.103441095,0,0.742519961,0,0.558249865,0,0,0,0.638676545,0,0,0.662955159,0,0,0,0,0,0,"I-B-"
"R2372C",0,0,0.709268517,0,0,0.78066566,0,0,0.92199767,0,0,0,0.585567007,0,0.271568288,0,0,0,1.288389441,0,0.896864698,0.851083346,0,0,0,1.550998098,0,1.002903822,0,0,0.448110271,0.820260117,0,0,0.770648777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697212787,0,1.076644914,0,0,0.823684245,0,0.358425953,0,0.876166558,0,0.448110271,0,0,0,0,0,0,0,0.543728971,0.647774782,0,0.41682253,0,0,0.955390411,0,0,0,0,0,0.702600315,0,1.072604589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983827052,0.4750700955,0.934933093,0,0,0,0,0,0,0,0,0,1.088018412,1.0054424,0,0,0,0.258884508,0,0.401917072,1.333822379,0.876363501,0,0,0,0,1.517604953,0,1.088018412,0,0,0,0,0,0,0,"I-B-"
