sample_name,ITGA2,FAM134B,CCDC112,TLN2,ATG4A,S1PR2,FOXL1,KIAA1199,ITGB1BP3,TSHZ2,LOC729467,MYO16,TRPC3,PLRG1,GADL1,QRSL1,C20orf71,CRY2,EVI2A,MFGE8,ADD1,LOC284276,DBNL,LOC100130017,SNORA68,PEX7,ZNF207,CCDC151,LOC647979,CNOT6L,C3orf32,C3orf30,STOML1,GPR108,LRRC61,PRSS3,RNF103,LYSMD2,ICOS,SHANK3,NCAN,VEZF1,KIAA1609,C20orf202,C1orf116,REV3L,BMX,AZI1,KEL,KRT36,DCAF12L1,NCRNA00112,LMNB1,KCNA6,CAPN13,FAM128B,MLLT3,GPR142,CLPX,MX1,TRIM13,NBPF4,REXO2,ALDH1L2,GNG5,MAGEB2,CRLF3,SGOL1,TMEM175,AMBP,LIG4,ISCU,ALS2CR4,KCTD18,SLC7A6,NPLOC4,LRP12,GAPDHS,MGC15885,SMYD5,RGPD6,RGPD5,ARL11,CA12,RPS29,FAM45A,FAM45B,ZNF642,ETF1,KLHL11,AGRP,CUL9,MS4A10,CBLN3,KANK2,DEDD2,FAM178B,EIF4G3,LSM8,HIST1H1T,SCEL,BUB1B,MIR632,C21orf57,NCRNA00200,NCOA4,MDC1,MEX3C,FEZF1,PLCE1,PSMB11,RAP2B,AMD1,TYMS,PPIL2,RTN4IP1,KIAA1310,MNS1,C10orf108,BRSK1,DDX5,NUP205,NFKBIZ,SYNPO2,VAV1,CTAG1B,ANKRD34C,SYNGR2,DAND5,AMZ1,ARHGEF19,MOBKL1B,DHX29,TMTC4,PSIP1,JTB,PDE1C,CA9,FUT6,FUT5,LOC100132831,GAK,ZNF230,TMEM132D,YWHAB,ZIC2,C12orf45,ANKRD55,PDCD1LG2,STYXL1,TXNL1,SART3,SNORD49B,SNORD49A,FLJ45244,DCTN6,IGSF3,GNPDA1,L1TD1,STH,FABP1,FKSG29,TUBB6,MKNK1,MAPT,LOC100130264,PABPC1,PABPC5,CECR1,CHRNA2,UBOX5,SPATA1,KSR1,C17orf37,MRPL33,PRRG1,COPS2,SREBF1,DLD,ZNF804B,LRRC30,BCKDHB,SFRP4,MBD3L2,FBXO40,C16orf65,NOTCH3,ACAN,GPN2,CLPTM1L,RBMY1F,PSG10,FBXO17,RING1,LOC150185,C10orf84,NACAD,TAS1R2,PPP1R14D,OR2AG1,DNAJB1,NQO1,ZNF526,KRT9,CBR4,GDF6,DUSP18,C3orf22,ZNF140,BEST4,GPKOW,TNPO1,CCL16,PPP1R1A,PACS1,P4HA3,MYO18A,C7orf23,LMOD1,PLA2G12A,GANC,TRIM5,CCDC45,CDKL2,MDH2,DRD1,LOC149837,BPIL3,TRIM10,SNORD94,ORC4L,DIAPH1,SNORD116.12,PDLIM3,CAPNS1,PPFIA3,KIF12,NLRP5,FASTKD5,CCPG1,LOXL3,KLHDC10,RPUSD3,FBXL14,OCLN,TMEM87A,NDST2,TSPAN1,L3MBTL2,FAM177A1,UGT1A1,C8orf76,LCA5L,DACH1,HKDC1,TSTA3,TRIM15,PGAM5,PKDREJ,CCDC90A,OR2F2,PRDX2,TXNDC5,RETSAT,UMPS,LOC650226,SLC6A14,USP3,ATG5,MGC87042,CRIP2,ERMAP,TMC5,ABP1,MOCS1,METTL13,C6orf155,HOXB1,CHUK,SPDEF,NCRNA00188,TLL2,APOBEC3D,IKBKE,GTF2IRD1,LOC219347,TMEM67,MGC16384,ACTG1,ZPBP2,PET117,LXN,ATP2B2,CYP1A2,C12orf10,NOX3,MIAT,OLFML2B,DGCR14,OR1I1,LHX4,OTUD3,DNAH2,C17orf87,ALOX5AP,ARSF,RBMY2FP,MERTK,C12orf59,MED22,SUV420H2,KCNS1,IPPK,CTAG1A,HIRIP3,POMGNT1,EGFLAM,ATP6V1F,PRKCSH,HAND2,RTP2,BAT3,AASDHPPT,PTAR1,FBN3,CD99,CST2,TUBGCP5,MALL,GALK2,DARS2,MAS1L,MAP3K14,AGXT2L2,NFIA,SLC7A10,class
"B0585C",0,0,0,0,0,0,0.833860737,0,0.735053735,0,0,0,0,0,0,0,0,0,0,0,0.9916872,0,0.530264253,0,0,0,0,0,0,1.149307807,0,0,0,0.737054467,0,0.099413893,1.165022234,0,0,0,0,0,0,0,0.493281347,1.116646993,0,1.284257413,0,0,0,0.705019834,1.105820168,0,0,0,0,0,0,0,0,0,0,0.896832618,0.766694336,0,1.01298704,0,0,0,0.845661884,0,0,0.799747486,0.598785091,0,0.87102783,1.088504271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738895318,0,0,0,0,0,0,0,0,0,1.547365574,0,0,0,0.494390371,0,0.787743642,0,0,0,0,0,0,0,0,0,0,0,0,1.08050832,0,0,0,0,0.380671943,0,0,1.229798116,0,0,0,0,0,0,0,0,0.928618671,0,0,0,0,0,0,0,0,0,0,0.447279451,0.831219731,0,0,0,0,0,0,0,0,0.570315429,0,0,0,0,0.797673698,0,0.766694336,0,0.960815341,0.766604694,0.533998115,0,0,0.453363167,0.98763572,0,0,0.720995763,0,0,0,1.673467568,0,0,0,0,1.193244016,0,0,0,0,0,0,0,0,1.064707201,0,0,0.404202474,0,0,0,0,0,0,0,0,0,0,0,1.155019843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334044979,0,0,0,0,0,0,0,0,0,0,1.063824752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907157342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678540911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661711749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968466396,0,1.033008368,0,0.566661896,0,0,0,0,0,0,0,0,0.732303148,0,0,0,"I+B-"
"B0588C",0,0,0,0,0,0,0.842836527,0,0.553665342,0,0,0,0,0,0,0,0,0,0,0,0.520421781,0,0.852495186,0,0,0,0,0,0,0,0,0,0,0,1.111044391,0,0.965708704,0,0,0,1.116000247,0,0,0,0.612608866,0,0,0.714053948,0,0,0,0,0,1.222082373,0,0,0.675462791,0,0,0,0.98286471,0,0,0.731294579,0,0,0,0,0,0,0.465153355,0,0,0,0,0,0.895846349,1.018265909,0,0,1.250641511,1.250641511,0,0,0,0.694584913,0.694584913,0.536954728,0,0,0,0,0,0,0,0,0,0.449285733,0,0,0,0,0,0.879827949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.470852924,0,0.594915431,0.639041103,0,0,0,0,0.965877089,1.015139033,0,0,0.667474482,0.293433417,0.476234432,0,0,0.258524627,0,0,0,0,0,0.060941263,0,0,0,0,0,0,0,0,0,1.236361761,0,0.739919518,0,0,0,0,0,0,0,0.345351135,0.92104572,0,0.7464483535,0,0,0,0,0.667873983,0,0,0,0,0,0,0.984823251,0,0,0,0,1.202563173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989886931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522247216,0,0,0,0,0,0,0,0,0,0,1.050477541,0,0,0,0,0,0,0,0,2.100516458,0,0,0,0.904661232,0,0,0,0,0,0,0,0.953968585,0,0,0,0,0,0,0,0,0,1.137344776,0,0,0,0.635429561,0,0,0,0,0.677016571,1.176168982,0,1.098496958,0,0,0,0,0,0,0,0,0.749261994,0,0.876196975,0,0,0,0,0,0,0,0,0.909212289,0,0,0,"I+B-"
"B1589C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232805325,0,0.8876161765,0,0,0,0,0,0,1.185156293,0,0,0,0.893138476333,0,0.884392942,0,0,0,0,1.17696875,0.994407057,0,0,0.099557308,0,0,0,0,0,0,0,0,0,0,0.866029639,0.37476008,0,0,0,1.041090497,0,0,0,0.717084445,0,0,0,0,0,1.285001103,0,0,0.417800968,0,0,0,0,0,0,0.598032488,0.598032488,0,0,0,0,0,0.805567692,0,0,0,1.575124628,0,0,0,0,0,1.209964729,0,0,0,0,0,0,1.925281121,0,0,0,0,0,0,0.519201206,0,0.61377227,0,0,1.368393885,0,0,0,0,0,0.797702033,0,0,0.910562892,0,0,0,0,0,0,0,0.893557381,0,0,0,0,0,1.117323953,0,0,0,0,0,0,0,0,0.946378571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.059147869,0,0,0,1.024600826,0.717084445,0,0,0.791256525,0,0,0,0.63060553,1.151677926,0,0,0.649477648,0,0,0,0,0,0,1.237747649,0,1.506535223,0,0,0.8605194045,0,0,0,0,0,0.802673724,0,0,1.450890612,0,0,0,0,0,0,1.258570851,0,0,0,0,0,0,0,0,0.850606045,0.519198304,0,0,0,0,0,0,0,0,0.460546818,0,1.536731735,0,0,0.44091102,0,0,0,1.024600826,0,0,0,0.83703831,0,0,0.519198304,0,0,0,0,0,0.845207967,1.561417947,0,0,0,0,0,0.911246408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337954203,0,0,0,1.286393232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2827955,0,0,0,0,0.474391448,0,0,0,0,0.958495939,0,0,2.397635169,0.910562892,1.782635593,0,0,0,0,0,0,0,0,0.778708308,0,1.361669559,0,0,0,0,0,0,0,0,0,0,"I+B-"
"R1767C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807283857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.057752552,0.669998475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813553414,0.46118925,0,0.684653263,0.875524686,0,0,0,0.686588415,1.500766037,0,0,0.877439503,0,0.965078937,0,0,0,0,0,0,0.850135631,1.314566824,0,0,1.260714967,0,0,0.544230456,0.544230456,0,0,0,0,0,0.438411196,0,0,0,1.045880036,0,0,0,0,0,0,0,0,0,0,0,0.909120425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702873107,0,0,0,0.346843119,0,0,0,0,0,0,0,1.551102048,0,2.188608128,0,0,0,0,0,0,0.668711618,0.906878153,0.894745944,0,0,0.537575928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.255808092,0,0,0.877439503,0,0.701332764,0,0.8138428775,0,0.706296689,0,0,0,0,0.895640469,0,0,0,0,0,0,0,0,0.311850447,0,0,0,0,0,0,0,0,0,0,0,0.342013491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415219844,1.015733801,0,0,0.677418501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990983742,0.877244399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962925836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971861915,0,0,1.277919046,0,0.821196375,0,0,0,0,0,0,0,0,0,0,0,1.117453322,0,0.708416034,0,0,0,0,0,0.818336984,0,0,0,0,0,0,0,0,0.416084608,0,0,0,0,0,0,0,0,0,0,0,0,0.653422156,0,0,0,"I+B-"
"R2533C",0,0,0,0,0,0,0,0,0.565533226,0,0,0,0,0,0,0,0,0,0,0,0.383876472,0,0,0,0,0,0,0,0,0,0,0,0,0.295256478,1.129321603,0,0,0,0,0,0,0.996541464,0,0,0.630231633,0.444104885,0,0,0,0,0,1.378167596,0,0,0,0,0.505706896,0,0,0,0.744182073,1.216352581,0,0.292820109,0,0,0,0,0,0,0,0,0,0,0,0.821882697,0.481975373,0,0,0,0,0,0,0,0,0.405267718,0.405267718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896148414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805139529,0,0,0,0.784821351,1.051169639,0,0,1.01030457,0,0,0,0,0,0,1.359162267,0,0,0,0,0,0,0,0,0.556421744,0,0,0,0.804029567,1.432462729,0.840979068,0,0,0,0,0,0,0,0.511412621,0,0,0,0,0,0,0,0.886345853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88394937,0,0,0,0,0,0,0,0,0,0.964704818,0,0,0,0,0.554761288,0.978152654,0,0,0.821816885,0,0,0,0,0.902952917,0,0,0,0.840979068,0,0,0,0,0,0,0.964704818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.086932218,0,0,1.190568329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794758669,0,0,0,0,0,0,0,1.570401397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I+B-"
"R2811C",0,0,0,0,0,0,0.618622064,0,0,0,0,0,0,0,0,0,0,0,1.660177157,0,0,0,0.8379532735,0,0,0,0,0,0,0.882465119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698608663,0,0,0,0,0,0,0,0.53163883,0,0.651416211,0,0,0,0,0.233056248,0,0,0,0.526106694,0,0,0,0,0,0.122095248,0,0,0.942584429,0,1.072097551,0,0,0,0,0,0,0,0,0,0.831087766,0.831087766,0.604011128,0,0,0,0.420285058,0,0,0,0,0,0,0,0,0,0,0,1.025445357,0,0,0,0.658517912,0,0,0,0,0,0.688876006,0,0,1.199074262,0,0,0,0,0,0.545938367,0,0,1.176986573,0.562932723,0,0,0,0,0,0,0.751679631,0,0,0,0,0,0,0.803877179,0,0,0,0,0.696507797,0,0,0,0,0,0,0,0,1.341596551,0,0,0,0,0,0,0,0,0,0,0,0.366357569,0,0,0.536765562,0,0.526106694,0,1.042347631,0,0,0,0.632857803,0.590545628,0,0,0,0.828596198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74699697,0,0,0,0,0.506858884,0,0,0,0,1.054991939,0,0,0,0,0,0,0,0,0.955126505,0,0,0,0,0,0,0,0,0,0,0.506858884,0,0,0,0,0,0,0,0,0,0,0,0,0.544098065,1.21210952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814124557,0,0,0,0,0,0,0,0,0,0.747677978,0,0,0,0,0,0,0,0,0.664660794,0,0,0,1.176986573,1.1053229955,0,0,0,0,1.128125309,0,0.589133731,0,0.755413452,0,0.445635869,0,0,0,0,0,0,0,0,0,0,"I+B-"
"B0201C",1.167680502,1.032417633,0.624422188,0.724147368,1.110418312,1.022093785,0,0.464775367,0,0.877515238,0.820575005,1.507678688,0,0,0.971452397,0.396825507,0.442466898,0.578105992,0,0,0,0.962052716,0,1.226468208,0.7676292165,1.230273467,0.550425998,1.244998503,0,0,0.798629088,0.325245,0.72126847,0,0,0,0,0.875472977,0,0.620688027,0,0,0.951747914,1.196378328,0,0,0,0,0,0.184511184,0.529520161,0,0,0,0.668611207,0,0,0,0,0.602324118,0,0,1.30920709,0,0,0.940384684,0,0,0,0.524163753,0,0.27002355,0.672151263,0,0,0,0,0,0.724147368,1.309098783,0,0,1.172712655,0.772346652,0,0,0,0,0,0,0.859040073,0,0,0,0.629237779,0,0.461646228,0,0.503048652,1.536024715,0.778061881,0,0.550425998,0,0,0,0.739620307,0,0,0.321713669,0.161618959,0,0.769952992,0,0.748999555,0.396825507,0,0.929870408,0.712234371,0,0,1.057390417,0,0,0,0,0,1.203017346,1.276311844,1.245625338,0.725577743,0,0,0,0,1.000778956,0,0.719022142,1.2364301035,0,0,0,1.402831101,0,0,0,0.842765745,0,0,0,0,0.27002355,0.467091975,0,0,0,0.942694191,1.332082987,1.323146524,0.510749356,0.778872287,0,0,1.270887851,0,0.88016992,0,1.152976782,0,0,0,0,0.153092013,0,0,0,0,0,0,0,0.527490055,0,0,0,0,0.680454539,0,0.211487976,0,0,1.229258078,0,0.842255227,0.521273739,0,0,0,0,0,0.312931981,0,0,0,0,0.857852964,0,0,0,1.143668178,0.610491201,0,0.307873091,0,0,0,0,0.733483457,0.49037998,1.113502897,0,0,0.701323676,0,1.288180391,0,0,0,0.510749653,0.590852103,0,0.528241447333,0,0,0,0,0.392644224,0,1.031554206,0,0.71337901,0.754366409,0.293213201,0,0.862456972,0.539516099,0,0.916847242,0,1.18910866,0.42906171,0,0,0,0.442082886,1.0526907555,0.711729209,0.590852103,0,0,0,1.182788124,0.726695466,0,0,0,0.687262361,0.597973569,0.586532138,0,0,0.324469457,0.789296614,0,0.822112904,0,1.175886827,0.784842188,0,0,0.625080691,0.467091975,0,0,0.573129175,1.357852313,0,1.147984131,0.839545227,0,1.226592257,0,0,0.719694526,1.108991911,1.17847151,1.170728492,0,0.509085539,0.803994277,0,0,1.29043765,0,0.862488394,0,0.918558598,1.229258078,0,1.120214331,0,0,0,0,0,0,0,0.427635455,0,1.244998503,0,0.864196973,0,0,0,0.689251367,0,0,0.914221527,0.755782049,0,1.092989967,0.561066016,0,0,0,0,"I-B-"
"B06150C",0.979605708,0.977697946,0.812971645,0.831619041,0.586757879,0,0,0.713320783,0,0.64497275,0.742822181,0,0,0.913019148,0,1.079346651,0,0.703553086,0,0,0,0.989819863,0,0,0,0,0,1.348903858,0,0,0.827869469,0.536162923,0.758792247,0,0,0,0,0.706366453,0.955271298,0,0,0,0,0,0,0,0,0,0,0.562572269,0.552660999,0,0,0,0.926287449,0,0,1.037744769,0,0.705015359,0,0,1.243149522,0,0,0.707831817,0,0,0.921650167,0.748312951,0,0,1.079823917,0,0,0,0,0,0.831619041,1.387057601,0,0,0,1.10160522,1.417004636,0,0,0,0.942417622,0,0,0,0.686872001,0,0.819444513,0.931267947,0,0,0.723284104,0,0,0.612194256,0,0,0,1.435761923,1.391953658,0,0.758044768,0,0.750886243,0,0,0,0.71284268,1.079346651,0,1.115990664,0.774605727,0,0.924060916,1.019569802,0,0,1.013766287,0,0,0,0,0,0.828095945,0,0.482399345,0,0,0,0,0.356291916,0.620479812,0,0,0.921650167,0.693029695,0,0,0,0,1.342139393,0,0,0,0,0,0,0,0,0.997512051,0,1.276476238,0,0.726933049,0.858533329,0.521567954,1.008336914,0,0.699439668,0,0.627389199,0,0,0,0,1.402519331,0,0,0,0,0,0,0,1.0521128265,0.785574471,0,0,1.521817587,0.591210399,0,0,0.460304208,0,0.950653097,0,0.973695206,0,0,0,0,0.853491492,0,0,0,0.46199493,0.931267947,0,0.756704873,0,0.244336398,0,1.124670909,0,0,0.367723786,0.510908691,0.629288426,0.845172401,0,0,0,1.316430686,0,0,0,0.924060916,0,0,0,0,0,0,0,1.151858111,0,0,1.378023889,0,0,0.608426775,0,0,0,0.839838837,0,0,0,0,0,0.8643778115,0,0,0.49854427,0.900057235,0,0,1.062973957,0.56623264,0,0,0.928261328,0,0,0,0,0,0,0,0,0,0.72444449,0,0,0,1.023871775,0,0.409736076,0,0.942980019,0.440200188,0.675864422,0,0.651358033,0,0.68594959,0,0.563378506,0,0,0,0.843983329,0,0.881945157,0,0.508295344,0,0,0.725488741,1.120474874,0,0.5948361985,0.566210072,0,0,0,0,0.794288378,0,0.840029619,0.950653097,0,0,0,0,0,0,0,0,0,0.703247412,0,1.348903858,0,1.054911796,0,0.835880222,0,0,0,0,0.562536299,0,0,1.171349158,0,0,1.086239426,0,0.937305469,"I-B-"
