sample_name,DDIT3,ASF1B,C20orf71,FAM92A1,CCL25,C16orf53,CES2,SLC44A2,RPL12,DNMT3L,ZNF367,RNF19B,CSMD3,OTOP1,BMX,MLLT6,PCDHA2,SGTA,GBAP,RPS17,GGTLC1,MBD6,CMTM1,TUBA3E,STAR,B4GALT1,SGOL1,S100A4,GAPDHS,C2orf49,ARL11,FAM21A,SLC39A1,PLAG1,GAMT,ATF5,ANKRD31,TEC,FLJ32063,PRKCI,CTAG1B,CRYL1,RUNX2,CREB3L4,FLJ45244,KRBA2,GNPDA1,HNRNPL,CD80,TIAL1,CACNA1F,MBD3L2,FBXO47,FBXO46,C19orf35,COPE,OPN5,HBA2,CLPTM1L,FLJ36000,HBXIP,RDH13,BRUNOL5,P4HA3,IQCK,THOP1,CEACAM20,ENTPD8,POLR3A,C8orf33,BAALC,VWC2L,ICAM5,GPR37L1,C1orf168,CDH13,C2orf71,COMMD10,CAMSAP1L1,TTL,THAP8,AREG,OR2F2,PCBD2,SLC6A14,CCR10,APOBEC3D,TMEM67,FMO1,NKD2,C12orf75,RSBN1L,CENPF,CLCF1,RB1,C12orf59,DNA2,P704P,PIH1D2,CTAG1A,FAM13C,CSNK2A1,class
"B0201C",0,0,0.442466898,0.91405096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629856885,1.172712655,0,0,1.26593539,0,0,0,0,0.613211703,0,0,0.618831221,0,0,0,0,1.332082987,0,0,0,0,0,0,0,0,0,0.921869823,0,0,0,0.701682474,0,0,0,0,0,0,0,0,0,0,1.634392601,0,0,0.919626154,1.038902136,0,0,0.570180342,0,0,0,1.182788124,0,0.597973569,0,0,1.147984131,0,0,0,0,0,0,0,1.120214331,0,0,0,0,0,0,4
"B06150C",0,0,0,0.715901712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99504747,0,0,0,0,0,0,1.242286536,0,0,0,0,0,0,0,0,0.8772065815,0,0,0,0,0,0,0,0,0,0,0,0.741990546,0,0,0,0,0,0.974271884,0,0,0,0.905772381,0,0,0,1.131171113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925774841,0,0,0.640621546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142392277,0,0.18254313,0,4
"B1077C",0,0,1.417687543,1.21683756,0,0,0,0.836694427,0,0,0,0,1.171876182,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402431221,0,0,0,1.186570951,0,0,0,0,0,0,0,0,0,0,0.98335958,0,0,0,0,0,0,0,0,0,0.707619723,0,0,0,0,0.678529831,0,0,0,0,0,0,0,0.84996935,0,0,0,0,0,0,0.590849711,0,0,0,1.567638118,0,0,0,0,0,0,1.001427611,0,0,0,0,0.832288192,0.783488504,0,0.972486592,0,0,0,0,1.081353181,0,0,1.434520522,0,0.408618046,0,4
"B1493C",0,0,1.052090011,0,0,0,0,0.91951226,0,0,0,0,0,0,0.391511022,0,0,0,0,0,0,0,0.862674847,0,0.843579909,0,0,0,0,0,0,0,0,1.008672608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226322498,0,0,0,0,0,0,1.143334734,0,0,0.833727543,0,0,1.020460485,0,0,0,0.631101647,0,0,0,0,0,1.22720992,1.06745251,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"B1614C",0,0,1.086712052,0,0,0,0,0,0,0,0,0,1.027590744,0,0,0,0,0,0,0,0,0,0,0,1.36480968,0,0,0,0,0,0,0,0,0,0,1.342454242,0,0,0,0,0,0.561987221,0,0,0,0,1.239333641,0,0,0,0.748670459,1.478151864,0,0,0,0,0,0,0,0,1.003517445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"B1657C",0,0,0,0,0,0,0,0.713681791,0,0,0,0,0.877929101,0,1.187376869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505875069,0,0,0,0,0,0,0,1.096049358,0,0,0,0,0.488503717,0,0,0,0,0,0,0,0,0,0.622841147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715815456,0,0,0.73094718,0,0,0,0.887401066,1.005879004,0,0.986360742,0,0,0.849872984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"R2026C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81575124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305715698,0.84232557,0,1.343012303,0.489700925,0,0,0,0.167366901,0,0,0,0,0,0.696774944,0,0.317307916,0,0,0,0,0.916770186,0,0,0,0,1.024996394,0,4
"R2031C",0,0,0,1.499754092,0,0,0,0.563303411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.093036654,0,0,0,0,0,0,0,0,0.774979214,0,0,0.97624784,0,0,0,0,0,0,0,0,0,0,0,0,0.841883748,0,0,0,0,0,0,0,0,0.65403538,0,0,0,0.36320838,0,0,0,0,0,0,0,0,0,0,0.488591145,0,0,0,0,0,0,0,0,0,0,0,0,0.913878943,0,0.989258781,0,0,0,0,0,0,0,0,0,0.771919173,0,4
"R2163C",0,0,0,2.17204238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.242308055,0,1.106646415,0,0,0,0,1.297061462,0.664382716,0,0,0,0,1.258794816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316728895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426496388,0,0,0,1.166404692,0,0,0,0,0,1.465959899,0,0,0,0.476615293,0,0.424181579,0,0,0,0,0,0,0,0,0,0.532362138,0,4
"R2372C",0,0,0,1.030734706,0,0,0,0,0,0,0,0,0,0,1.550998098,0,0,0,0,0,0,0,0.276331356,0,0,0,0,0,0,0,0,0,0,0.697212787,0,1.076644914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647774782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586616918,0,0,0,0,0,0,0,0,0,0.688637199,0,0,1.868240771,0.299771702,0,0,0.983827052,0,0,0,0,0,0,0,0,0.434123284,0,0,0,0,0,0,0,1.382180295,0,0.767315501,0,4
"B9N1",0,0.683583336,0,0,0,0,0,0,0,1.410382795,0.560083228,0.600851691,0,1.096169655,0,0.877191087,0.878614564,0,0,0.668085483,0.829597288,0,0,0,0,0.802404943,0,0,0,0,0,0.502002772,0.852575589,0,0.947249148,0,0.91642463,0,0,1.368588388,0.693618492,0,0,0.852575589,0.924562955,0,0,0.561914215,1.202681117,0.925807824,0,0,0,0.544062347,0.8591135,0.731638702,0,0.83284498,0.394868197,0,0,0.526953459,0,1.146510954,0,0,0.385032316,0.774752993,1.291022886,0,0.538752058,0,0,0.605981157,0,0,0,0,0,0.609028583,0,0,0,0.393582447,0,0,0,0,0,0.442228646,0,0.245201233,0.617549733,0.395383866,1.144726695,0,1.251059725,0.889288435,0,0.693618492,0,0.996554102,5
"B9N2",0.560217253,1.324582286,0,0,0.916035883,0.402231472,0.388215466,0,0.86152254,0.457621107,0,0.751737394,0,0,0,0.695347408,1.044687948,0.724131176,0.531840774,0.69273168,0,0.560217253,0,0,0,0,0,0,0.91516555,0,0,0.72864804,0.460316485,0,0.694043715,0,0.828071244,1.25025999,0,0.944659729,0.594448408,0,1.20297339,0.460316485,0,0,0,0.8713858845,1.004809547,0,0,0,0,0.434661301,0,0.955960182,0,0.671723587,0.71968136,0,0,0.824729061,1.271191032,0.84347509,0,0.724131176,0,0,0,1.561454518,0,0,0.928673401,0.900766725,0,0,0,0,0,0.657152671,0.812660998,0,0,0.309970566,0,0,0,0,0,0.487954178,0,0,0,0.896234599,0,0,0,0,0,0.594448408,0,0.948258741,5
"B9N3",0,0.579390411,0,0,0,0.9207209055,1.076843824,0,0.958923987,0.803099646,0.681965496,0,0,0.677145581,0,0,0,0,0.607882736,0.415629537,0,0,0,0,0,0.971929694,0,0,0.480840854,0,0,0.621965846,0.435387707,0,0,0,0.300400882,1.287292817,0,1.143292609,0,0,0.982163371,0.435387707,0.931849278,0,0,0.89017291,0,0,0,0,0.648527307,0.705274027,0.900962172,0.877065034,0,0.87034905,0.914341984,0,0,0,1.110130857,1.047151393,0,0,0.707578578,0,0,0,0.508910723,0,1.321804891,0.776023134,0,0,0,0,0,0,1.538364965,0,0,0,0,1.312601008,0.6880064385,0,0,0.56741431,0,1.723053713,0,0.650528892,0.831773575,0,0.848494498,0,0,0,0,0.794437004,5
"B9N4",1.070873418,0.432646992,0,0,0.483742553,0,0,0,0,0,0,0,0,0,0,1.49345065,0,0,1.736615137,0.921543987,0.587516588,1.070873418,0,0.891450025,0,0,0,0.587603245,0,0,0,0,0.250694253,0,0.52546197,0,0.624191713,0,0,0,0,0,0,0.250694253,0.781294328,1.763356392,0,0.591769815,0,1.026198908,0,0,1.185865227,0,1.266258006,0.472190014,0,1.011925505,0.212275141,0,0,0,0,0.903402447,0,0,0,0.821539747,0,0,0,0,0.629434216,0,0,0,0.500351634,0,0,1.134444223,0.82776193,0,0,0,0,0,0,0,0,0,0,0,1.604362864,0,0,0,0,0,0,0,0,0,5
"B9N5",0.601906526,0,0,0,0.214126514,0,0,0,0,0,0,0.619545263,0,1.349872755,0,0,0,0,0,0,0.367555271,0.601906526,0,1.097013157,0,0,0,0,0.753806748,0,0,0,0.524116323,0,0,0,0.9119533,0,0,0,0,0,0,0.524116323,0.641011873,0,0,0,0,0,0,0,0.854143364,1.367313488,1.033479772,0,0,0,0.59569302,0,0,0.657527359,1.201779841,0,0,0,0,0.938418978,0,1.461557863,0.312338438,0,0,0.495723843,0,0,0,0,0,0.092091394,0,0,0,0.988877458,0,0,0,0,0,0,0,0,0.823425322,0,0.5667764,0,0,0,0,0,0,0.880411045,5
"R9N10",0,0,0,0,0,0.641600665,0,0,0,0.505259566,0.750311474,0,0,0,0,0,0,0,0.754545168,0.707565095,0,0,0,0,0,0,0,0.880476109,0,0,0,0,0,0,1.311222606,0,0,0,0,0,0.812503317,0,0,0,0,1.868263806,0,0.40767217,0,0,0,0,0,0,0,0,0,0,0.518708804,0,0,0,0,0,0,0,0,0,0,0,0.345168178,0,0,0,0,0,0,0,0,0.700327405,0,0,0,0.523926631,0,0,0.664799504,0,0,0.679182134,0,0,0,0.894384792,0.535873944,0,0,0.744042521,0,0.812503317,0,0,5
"R9N6",0.326896793,0,0,0,0,0.587623433,0.890148094,0,0.837484957,0,0.620110224,1.174359501,0,0,0,1.279311848,1.361418965,1.235011658,0,0.708928862,0.599909273,0,0,0,0,0.408404522,0,1.11113973,0,0,0,0.33250624,0,0,0,0,0,0,0,0,0,0,1.503635154,0,0,0,0,0,0,0.599599841,0,0,0,0,1.046311311,0,0,0.629119044,0.226199337,0,0,0.599170299,0,0,0,1.235011658,0.656517204,1.398401192,0.982528898,0,0,0,0,0,0,0,1.061826378,0,0,0,0,0,0,0.831158819,0,0.526225904,0.919415207,0,0,0.765443392,0,0.114040691,0,0,0,0,0,0,0,0,0,0,5
"R9N7",0,0,0,0,0.4480700875,0.772817849,1.06241713,0,0.975465106,0,0.284172116,0,0,0,0,1.543067461,0,0.892275772,0.267116951,1.346717944,0.733934567,0,0,0,0,0.851926639,0,0.243023338,0,0,0,0.635963095,0,0,0,0,0,1.126903695,0,0,0,0,0,0,0,0,0,0,0.6020915135,0,0,0,0,0,0,0.634346549,0,0,0.342445583,1.838339971,0,0,0,0,0,0.892275772,0.808650675,0,0.866110331,0,1.383723693,0,0,0.877996248,0,0,1.305011735,0,0,0,0,0,0,0,0,1.317538367,0,0,0,0,0,0.914099663,0,0,0,0,0,0.408120968,0,0,0,0.555551616,5
"R9N8",0,0,0,0,1.057035379,0.745582555,0,0,0,0,0,0,0,0,0,1.276715497,0,0.576721689,0,0.570622855,0,0,0,0.901559389,0,0,0,0.595776396,1.069713252,0,0,0,0,0,0.691001203,0,0,0,0,0,0.330002974,0,0,0,0.27195294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747258191,0,0,0,0.576721689,0.455427325,1.086902457,0,0,0.882072847,0,0,0.885683036,0,0,0,0,0,0,0,0,0,0,0,0.636669079,0,0,0,0,0,0,0,0,0.29532235,0,0.871820798,0,0,0.330002974,0,0.537744516,5
"R9N9",0.872519513,0,0,0,0,0,0,0,0.679856882,0,0.452147071,0.675002681,0,0,0,0,0,0,0,0,0,0.872519513,0,0.983333905,0,0,0,0.256766221,0,0,0,0.402298841,0.643136842,0,0,0,0,0,0,0,0.941281837,0,1.039123721,0.643136842,0,0,0,1.100677641,1.0603786,0.961308692,0,0,0.410363073,0,0,0,0,0,0,1.427719461,0,0,0,0.950330595,0,0,0,0,0,0,0,0,0.878151937,0,0,0,0.853882327,0,0,0,0,0,0,0,0,0,0.756315862,0,0,0.770077082,0,1.275494608,0,0.628417666,0.90237153,0,0.590945394,1.135138888,0,0.941281837,0,0,5
